company_year_id,company_id,annual_report_id,ticker,name,cik,fiscal_year,filing_date,sec_accession_id,report_path,report_hash,file_format,file_size_bytes,extraction_status,form_type,data_version,created_at,updated_at
1,1,32,AAPL,Apple Inc.,0000320193,2025,2025-10-31,0000320193-25-000079,data/raw/annual_reports/0000320193/2025/aapl_10k_2025.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,txt,9392337,pending,10-K,v1,2025-12-01T12:54:10.937365+11:00,
2,1,33,AAPL,Apple Inc.,0000320193,2024,2024-11-01,0000320193-24-000123,data/raw/annual_reports/0000320193/2024/aapl_10k_2024.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,txt,9759333,pending,10-K,v1,2025-12-01T12:54:18.376003+11:00,
3,1,34,AAPL,Apple Inc.,0000320193,2023,2023-11-03,0000320193-23-000106,data/raw/annual_reports/0000320193/2023/aapl_10k_2023.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,html,1558924,pending,10-K,v1,2025-12-01T12:54:18.379600+11:00,
4,2,4,WMT,Walmart Inc.,0000104169,2025,2025-03-14,0000104169-25-000021,data/raw/annual_reports/0000104169/2025/wmt_10k_2025.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,,89256,pending,10-K,v1,2025-12-01T12:54:20.384004+11:00,
5,2,5,WMT,Walmart Inc.,0000104169,2024,2024-03-15,0000104169-24-000056,data/raw/annual_reports/0000104169/2024/wmt_10k_2024.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,,89256,pending,10-K,v1,2025-12-01T12:54:25.991555+11:00,
6,2,6,WMT,Walmart Inc.,0000104169,2023,2023-03-17,0000104169-23-000020,data/raw/annual_reports/0000104169/2023/wmt_10k_2023.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,,89256,pending,10-K,v1,2025-12-01T12:54:25.995746+11:00,
7,3,7,MSFT,Microsoft Corporation,0000789019,2025,2025-07-30,0000950170-25-100235,data/raw/annual_reports/0000789019/2025/msft_10k_2025.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,,89256,pending,10-K,v1,2025-12-01T12:54:28.008979+11:00,
8,3,8,MSFT,Microsoft Corporation,0000789019,2024,2024-07-30,0000950170-24-087843,data/raw/annual_reports/0000789019/2024/msft_10k_2024.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,,89256,pending,10-K,v1,2025-12-01T12:54:33.673725+11:00,
9,3,9,MSFT,Microsoft Corporation,0000789019,2023,2023-07-27,0000950170-23-035122,data/raw/annual_reports/0000789019/2023/msft_10k_2023.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,,89256,pending,10-K,v1,2025-12-01T12:54:33.677359+11:00,
10,4,10,AMZN,Amazon.com Inc.,0001018724,2025,2025-02-07,0001018724-25-000004,data/raw/annual_reports/0001018724/2025/amzn_10k_2025.html,sha256:797fe7891b05cbec93ce3c7a54d2e918d99a86e494a270f2ab26060fc0cafcf3,,89256,pending,10-K,v1,2025-12-01T12:54:35.688802+11:00,
