year,q1_return,q5_return,rd_premium
1995,0.29,0.64,0.35
1996,0.25,0.26,0.01
1997,0.45,0.27,-0.18
1998,0.21,0.43,0.21
1999,0.06,1.05,0.99
2000,0.47,0.05,-0.42
2001,4.28,-19.87,-24.15
2002,0.29,28.92,28.63
2003,30.04,40.63,10.58
2004,23.32,11.35,-11.97
2005,15.63,20.88,5.25
2006,23.67,25.05,1.39
2007,-7.64,-9.64,-2.0
2008,-25.77,-20.43,5.35
2009,23.0,23.02,0.01
2010,34.65,42.71,8.06
2011,4.89,2.32,-2.57
2012,24.94,28.83,3.89
2013,22.25,40.33,18.08
2014,12.27,18.28,6.01
2015,2.78,4.24,1.46
2016,18.57,38.61,20.03
2017,9.58,34.31,24.73
2018,13.37,16.36,2.99
2019,-3.98,29.35,33.33
2020,42.71,46.95,4.25
2021,-3.97,-21.66,-17.69
2022,9.6,27.44,17.83
2023,10.98,31.14,20.17
2024,10.95,23.55,12.6
2025,0.06,0.28,0.22
