year,avg_rd_intensity,companies
1992,9.49,3
1993,10.02,8
1994,9.45,46
1995,9.54,56
1996,9.16,60
1997,10.06,79
1998,10.96,87
1999,10.57,91
2000,10.21,97
2001,12.12,99
2002,12.33,107
2003,14.86,105
2004,10.16,129
2005,9.12,132
2006,9.42,142
2007,11.03,148
2008,10.77,151
2009,12.96,155
2010,12.53,153
2011,9.71,161
2012,9.5,181
2013,9.48,183
2014,10.16,180
2015,9.85,184
2016,11.18,184
2017,10.88,190
2018,11.82,196
2019,10.32,196
2020,11.52,199
2021,10.04,198
2022,10.24,199
2023,10.96,197
2024,10.73,204
